symbol	ensembl	mitocarta_list	evidence	sub_localization
Mrpl19	ENSMUSG00000030045	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mipep	ENSMUSG00000021993	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Tomm40l	ENSMUSG00000005674	MitoCarta3.0	targetP signal, yeast mito homolog+, mito protein domain+, i	MOM
Adhfe1	ENSMUSG00000025911	MitoCarta3.0	targetP signal, yeast mito homolog++, mito protein domain, c	Matrix
Coq8a	ENSMUSG00000026489	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog+, Rickettsial ho	MIM
Bdh1	ENSMUSG00000046598	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	MIM
Tomm7	ENSMUSG00000028998	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, coex	MOM
Hccs	ENSMUSG00000031352	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	IMS
Mrpl16	ENSMUSG00000024683	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	Matrix
Prodh	ENSMUSG00000003526	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, mito protei	MIM
Mrpl30	ENSMUSG00000026087	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ndufa10	ENSMUSG00000026260	MitoCarta3.0	literature, targetP signal+, mito protein domain, coexpressi	MIM
Mars2	ENSMUSG00000046994	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Clpp	ENSMUSG00000002660	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Ak3	ENSMUSG00000024782	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Spg7	ENSMUSG00000000738	MitoCarta3.0	literature, targetP signal+, yeast mito homolog, Rickettsial	MIM
Sco1	ENSMUSG00000069844	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mi	MIM
Atpif1	ENSMUSG00000054428	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Chchd3	ENSMUSG00000053768	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, GFP, Rickettsial homolog,	MIM
Acad12	ENSMUSG00000042647	MitoCarta3.0	targetP signal+, mito protein domain+, coexpression+, MS/MS+	Matrix
Hibadh	ENSMUSG00000029776	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Gatc	ENSMUSG00000029536	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Cox8b	ENSMUSG00000025488	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	MIM
Clpb	ENSMUSG00000001829	MitoCarta3.0	APEX_IMS, targetP signal+, yeast mito homolog+, Rickettsial 	IMS
Tmem126a	ENSMUSG00000030615	MitoCarta3.0	literature, mito protein domain+, induction, coexpression++,	MIM
Aldh6a1	ENSMUSG00000021238	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Mrps18c	ENSMUSG00000016833	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	Matrix
Pdk1	ENSMUSG00000006494	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Ppif	ENSMUSG00000021868	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Lyrm4	ENSMUSG00000046573	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Ech1	ENSMUSG00000053898	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog+, mito prote	Matrix
Acaa2	ENSMUSG00000036880	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Ndufa7	ENSMUSG00000041881	MitoCarta3.0	literature, APEX_matrix, mito protein domain+, coexpression+	MIM
Mrpl35	ENSMUSG00000052962	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Pccb	ENSMUSG00000032527	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	Matrix
Coq2	ENSMUSG00000029319	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, Rickettsi	MIM
Mrpl20	ENSMUSG00000029066	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	Matrix
Timm17a	ENSMUSG00000062580	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MIM
Timm22	ENSMUSG00000020843	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, indu	MIM
Mrpl54	ENSMUSG00000034932	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Tomm22	ENSMUSG00000022427	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, coex	MOM
Crat	ENSMUSG00000026853	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Mrps5	ENSMUSG00000027374	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial h	Matrix
Dhtkd1	ENSMUSG00000025815	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsi	Matrix
Tmem70	ENSMUSG00000025940	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Alkbh7	ENSMUSG00000002661	MitoCarta3.0	APEX_matrix, targetP signal+, mito protein domain, induction	Matrix
Mrps22	ENSMUSG00000032459	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Uqcrb	ENSMUSG00000021520	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Cox7c	ENSMUSG00000017778	MitoCarta3.0	literature, APEX_IMS, targetP signal, yeast mito homolog++, 	MIM
Ndufaf1	ENSMUSG00000027305	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	MIM
Acad8	ENSMUSG00000031969	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Wars2	ENSMUSG00000004233	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrps34	ENSMUSG00000038880	MitoCarta3.0	literature, APEX_matrix, targetP signal, induction, coexpres	Matrix
Ndufv3	ENSMUSG00000024038	MitoCarta3.0	literature, APEX_matrix, targetP signal, induction, coexpres	MIM
Ndufb2	ENSMUSG00000002416	MitoCarta3.0	literature, targetP signal, induction, coexpression++, MS/MS	MIM
Slc25a12	ENSMUSG00000027010	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Slc25a5	ENSMUSG00000016319	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Mrps21	ENSMUSG00000054312	MitoCarta3.0	literature, yeast mito homolog++, Rickettsial homolog, mito 	Matrix
Msrb2	ENSMUSG00000023094	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog+, mito prot	Matrix
Glrx5	ENSMUSG00000021102	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Chchd10	ENSMUSG00000049422	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, mito protei	IMS
Coq10b	ENSMUSG00000025981	MitoCarta3.0	GFP, targetP signal, yeast mito homolog+, Rickettsial homolo	MIM
Slc25a30	ENSMUSG00000022003	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Slc25a13	ENSMUSG00000015112	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Slc25a10	ENSMUSG00000025792	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Cox7a1	ENSMUSG00000074218	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	MIM
Slc25a19	ENSMUSG00000020744	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, indu	MIM
Smdt1	ENSMUSG00000022452	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	MIM
Mrpl22	ENSMUSG00000020514	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrps10	ENSMUSG00000034729	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Afg3l1	ENSMUSG00000031967	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	MIM
Fdxr	ENSMUSG00000018861	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Slirp	ENSMUSG00000021040	MitoCarta3.0	literature, APEX_matrix, GFP, targetP signal+, mito protein 	Matrix
Poldip2	ENSMUSG00000001100	MitoCarta3.0	literature, APEX_matrix, targetP signal+, induction, coexpre	Matrix
Acsf3	ENSMUSG00000015016	MitoCarta3.0	APEX_matrix, targetP signal+, Rickettsial homolog, mito prot	Matrix
Oxa1l	ENSMUSG00000000959	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Idh2	ENSMUSG00000030541	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	Matrix
Atp5l	ENSMUSG00000038717	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	MIM
Bola1	ENSMUSG00000015943	MitoCarta3.0	GFP, targetP signal+, Rickettsial homolog, mito protein doma	Matrix
Fahd2a	ENSMUSG00000027371	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, mito protei	Matrix
Etfrf1	ENSMUSG00000040370	MitoCarta3.0	mito protein domain+, induction, coexpression, MS/MS++	Matrix
Ndufc2	ENSMUSG00000030647	MitoCarta3.0	literature, APEX_IMS, mito protein domain+, coexpression++, 	MIM
Ndufa8	ENSMUSG00000026895	MitoCarta3.0	literature, APEX_IMS, mito protein domain, induction, coexpr	MIM
Mthfd1l	ENSMUSG00000040675	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Pdk3	ENSMUSG00000035232	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Cox14	ENSMUSG00000023020	MitoCarta3.0	literature, GFP, mito protein domain+, induction, coexpressi	MIM
Gcdh	ENSMUSG00000003809	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Mrpl51	ENSMUSG00000030335	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Hagh	ENSMUSG00000024158	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Mtx1	ENSMUSG00000064068	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, coex	MOM
Fars2	ENSMUSG00000021420	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Cbr4	ENSMUSG00000031641	MitoCarta3.0	literature, APEX_matrix, Rickettsial homolog, mito protein d	Matrix
Mrpl32	ENSMUSG00000015672	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial h	Matrix
2310061I04Rik	ENSMUSG00000050705	MitoCarta3.0	targetP signal, induction, coexpression++, MS/MS+	Matrix
Fdx2	ENSMUSG00000079677	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsi	Matrix
mt-Co2	ENSMUSG00000064354	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Ric	MIM
mt-Atp6	ENSMUSG00000064357	MitoCarta3.0	literature, yeast mito homolog++, Rickettsial homolog, mito 	MIM
Trap1	ENSMUSG00000005981	MitoCarta3.0	APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito 	Matrix
Gpd2	ENSMUSG00000026827	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Abcb7	ENSMUSG00000031333	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Hsd17b10	ENSMUSG00000025260	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Glud1	ENSMUSG00000021794	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Aldh2	ENSMUSG00000029455	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Tufm	ENSMUSG00000073838	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Stoml2	ENSMUSG00000028455	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	MIM
Dhrs4	ENSMUSG00000022210	MitoCarta3.0	targetP signal+, Rickettsial homolog, mito protein domain, c	Matrix
Aldh9a1	ENSMUSG00000026687	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog+, mito prote	Matrix
Nars2	ENSMUSG00000018995	MitoCarta3.0	GFP, targetP signal+, yeast mito homolog++, Rickettsial homo	Matrix
Vwa8	ENSMUSG00000058997	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, mito protei	Matrix
Mrps26	ENSMUSG00000037740	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Adck5	ENSMUSG00000022550	MitoCarta3.0	targetP signal, yeast mito homolog+, Rickettsial homolog, mi	unknown
Cars2	ENSMUSG00000056228	MitoCarta3.0	APEX_matrix, targetP signal+, Rickettsial homolog, mito prot	Matrix
Cox10	ENSMUSG00000042148	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	MIM
Ndufb11	ENSMUSG00000031059	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, coexpres	MIM
Pdha2	ENSMUSG00000047674	MitoCarta3.0	literature, yeast mito homolog+, Rickettsial homolog, mito p	Matrix
Ssbp1	ENSMUSG00000029911	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Hscb	ENSMUSG00000043510	MitoCarta3.0	APEX_matrix, GFP, targetP signal, yeast mito homolog++, Rick	Matrix
Mrpl27	ENSMUSG00000024414	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Hint2	ENSMUSG00000028470	MitoCarta3.0	APEX_matrix, targetP signal+, Rickettsial homolog, mito prot	Matrix
Etfb	ENSMUSG00000004610	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog, mito protein do	Matrix
Slc25a15	ENSMUSG00000031482	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Oxnad1	ENSMUSG00000021906	MitoCarta3.0	APEX_matrix, GFP, targetP signal, yeast mito homolog, mito p	Matrix
Cyct	ENSMUSG00000056436	MitoCarta3.0	literature, yeast mito homolog+, Rickettsial homolog, mito p	IMS
Cycs	ENSMUSG00000058927	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, Rickettsial homol	IMS
Mrpl23	ENSMUSG00000037772	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrpl9	ENSMUSG00000028140	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Chchd1	ENSMUSG00000063787	MitoCarta3.0	GFP, targetP signal, yeast mito homolog++, mito protein doma	MIM
Atad3a	ENSMUSG00000029036	MitoCarta3.0	APEX_IMS, APEX_matrix, GFP, yeast mito homolog, Rickettsial 	MIM
Mmut	ENSMUSG00000023921	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Cisd1	ENSMUSG00000037710	MitoCarta3.0	literature, mito protein domain, induction, coexpression++, 	MOM
Dars2	ENSMUSG00000026709	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Aldh18a1	ENSMUSG00000025007	MitoCarta3.0	literature, targetP signal+, Rickettsial homolog, mito prote	Matrix
Mrpl50	ENSMUSG00000044018	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Cox8a	ENSMUSG00000035885	MitoCarta3.0	literature, targetP signal+, mito protein domain+, coexpress	MIM
Mrps6	ENSMUSG00000039680	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial h	Matrix
Hspe1	ENSMUSG00000073676	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Ric	Matrix
Ppa2	ENSMUSG00000028013	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Pcx	ENSMUSG00000024892	MitoCarta3.0	literature, targetP signal, Rickettsial homolog, mito protei	Matrix
Gldc	ENSMUSG00000024827	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Tamm41	ENSMUSG00000030316	MitoCarta3.0	GFP, yeast mito homolog++, mito protein domain+, MS/MS++	MIM
Atp5g3	ENSMUSG00000018770	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, Rickettsial	MIM
Mrpl38	ENSMUSG00000020775	MitoCarta3.0	APEX_matrix, targetP signal+, mito protein domain, coexpress	Matrix
Ndufa12	ENSMUSG00000020022	MitoCarta3.0	literature, APEX_matrix, Rickettsial homolog, coexpression++	MIM
Pdf	ENSMUSG00000078931	MitoCarta3.0	APEX_matrix, targetP signal, Rickettsial homolog, mito prote	Matrix
Acad10	ENSMUSG00000029456	MitoCarta3.0	APEX_matrix, targetP signal+, mito protein domain+, coexpres	Matrix
Ptges2	ENSMUSG00000026820	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, mito prot	MIM
Ccdc58	ENSMUSG00000075229	MitoCarta3.0	APEX_IMS, yeast mito homolog++, mito protein domain+, MS/MS+	IMS
Slc25a31	ENSMUSG00000069041	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, MS/M	MIM
Atp5h	ENSMUSG00000034566	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	MIM
Atp5pb	ENSMUSG00000000563	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	MIM
Mrpl41	ENSMUSG00000036850	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Txnrd2	ENSMUSG00000075704	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mcee	ENSMUSG00000033429	MitoCarta3.0	targetP signal, induction, coexpression++, MS/MS++	Matrix
Mccc2	ENSMUSG00000021646	MitoCarta3.0	literature, targetP signal, Rickettsial homolog, mito protei	Matrix
Ptcd2	ENSMUSG00000021650	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	Matrix
Ak4	ENSMUSG00000028527	MitoCarta3.0	APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito	Matrix
Slc25a25	ENSMUSG00000026819	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Tomm40	ENSMUSG00000002984	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MOM
Clybl	ENSMUSG00000025545	MitoCarta3.0	APEX_matrix, targetP signal+, induction, coexpression+, MS/M	Matrix
Mterf2	ENSMUSG00000049038	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Dnajc11	ENSMUSG00000039768	MitoCarta3.0	GFP, yeast mito homolog+, Rickettsial homolog, mito protein 	MOM
Decr1	ENSMUSG00000028223	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Ndufaf6	ENSMUSG00000050323	MitoCarta3.0	literature, targetP signal, mito protein domain, induction, 	MIM
Ptrh1	ENSMUSG00000053746	MitoCarta3.0	APEX_matrix, GFP, targetP signal, yeast mito homolog++, Rick	Matrix
Rmnd1	ENSMUSG00000019763	MitoCarta3.0	literature, GFP, targetP signal, yeast mito homolog++, Ricke	MIM
Gcat	ENSMUSG00000006378	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, Rickettsial	unknown
Pyurf	ENSMUSG00000043162	MitoCarta3.0	targetP signal+, induction, coexpression++, MS/MS	unknown
Acsm1	ENSMUSG00000033533	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	Matrix
Atad1	ENSMUSG00000013662	MitoCarta3.0	yeast mito homolog++, Rickettsial homolog, mito protein doma	MOM
Tmem14c	ENSMUSG00000021361	MitoCarta3.0	literature, yeast mito homolog, mito protein domain+, induct	MIM
C030006K11Rik	ENSMUSG00000079002	MitoCarta3.0	APEX_matrix, targetP signal+, coexpression+, MS/MS++	Matrix
Nit2	ENSMUSG00000022751	MitoCarta3.0	yeast mito homolog, Rickettsial homolog, mito protein domain	unknown
Slc25a26	ENSMUSG00000045100	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, coex	MIM
Timm21	ENSMUSG00000024645	MitoCarta3.0	APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, c	MIM
Ndufa4	ENSMUSG00000029632	MitoCarta3.0	literature, targetP signal, mito protein domain, coexpressio	MIM
Rexo2	ENSMUSG00000032026	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, mito pro	Matrix
Me2	ENSMUSG00000024556	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Sars2	ENSMUSG00000070699	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Dnlz	ENSMUSG00000075467	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, mito prot	Matrix
Ckmt2	ENSMUSG00000021622	MitoCarta3.0	literature, targetP signal, mito protein domain, induction, 	MIM
Spryd4	ENSMUSG00000051346	MitoCarta3.0	APEX_matrix, GFP, targetP signal, mito protein domain, coexp	Matrix
Bphl	ENSMUSG00000038286	MitoCarta3.0	targetP signal, Rickettsial homolog, mito protein domain, co	Matrix
Chchd4	ENSMUSG00000034203	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	IMS
Mrpl37	ENSMUSG00000028622	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Slc25a51	ENSMUSG00000045973	MitoCarta3.0	GFP, yeast mito homolog+, mito protein domain+, coexpression	MIM
Mtarc2	ENSMUSG00000073481	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	MOM
Immp1l	ENSMUSG00000042670	MitoCarta3.0	literature, yeast mito homolog++, Rickettsial homolog, mito 	MIM
Fam210a	ENSMUSG00000038121	MitoCarta3.0	GFP, targetP signal, induction, coexpression++, MS/MS	MIM
Mrps24	ENSMUSG00000020477	MitoCarta3.0	literature, APEX_matrix, targetP signal, induction, coexpres	Matrix
Timm17b	ENSMUSG00000031158	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MIM
Hars2	ENSMUSG00000019143	MitoCarta3.0	literature, APEX_matrix, GFP, targetP signal+, yeast mito ho	Matrix
Cox16	ENSMUSG00000091803	MitoCarta3.0	APEX_IMS, GFP, targetP signal, yeast mito homolog++, mito pr	MIM
Pdss2	ENSMUSG00000038240	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Eci1	ENSMUSG00000024132	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Ndufs3	ENSMUSG00000005510	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	MIM
Hmgcs2	ENSMUSG00000027875	MitoCarta3.0	literature, targetP signal+, Rickettsial homolog, mito prote	Matrix
L2hgdh	ENSMUSG00000020988	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	MIM
Zadh2	ENSMUSG00000049090	MitoCarta3.0	targetP signal, mito protein domain, induction, coexpression	unknown
Aurkaip1	ENSMUSG00000065990	MitoCarta3.0	GFP, targetP signal+, yeast mito homolog++, mito protein dom	Matrix
Coa5	ENSMUSG00000026112	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	IMS
H2-Ke6	ENSMUSG00000073422	MitoCarta3.0	APEX_matrix, targetP signal, Rickettsial homolog, mito prote	Matrix
Micos13	ENSMUSG00000049760	MitoCarta3.0	induction, coexpression++, MS/MS++	MIM
Ndufb7	ENSMUSG00000033938	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, induction, coexpression++	MIM
Nipsnap2	ENSMUSG00000029432	MitoCarta3.0	literature, APEX_matrix, targetP signal+, induction, coexpre	Matrix
Mrpl47	ENSMUSG00000037531	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mtres1	ENSMUSG00000019797	MitoCarta3.0	GFP, targetP signal, induction, coexpression++, MS/MS+	Matrix
Ndufaf7	ENSMUSG00000024082	MitoCarta3.0	APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito 	MIM
Acad9	ENSMUSG00000027710	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Nags	ENSMUSG00000048217	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	Matrix
Ldhd	ENSMUSG00000031958	MitoCarta3.0	literature, targetP signal+, yeast mito homolog+, mito prote	MIM
Sardh	ENSMUSG00000009614	MitoCarta3.0	literature, targetP signal+, yeast mito homolog, mito protei	Matrix
Spr	ENSMUSG00000033735	MitoCarta3.0	targetP signal, Rickettsial homolog, mito protein domain, in	unknown
Naxe	ENSMUSG00000028070	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, mito protei	Matrix
Timm23	ENSMUSG00000013701	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Mpv17	ENSMUSG00000090262	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, mito protei	MIM
Mtg1	ENSMUSG00000039018	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ide	ENSMUSG00000056999	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Trnt1	ENSMUSG00000013736	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	Matrix
Mrps25	ENSMUSG00000014551	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Mrpl14	ENSMUSG00000023939	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	Matrix
Mrps30	ENSMUSG00000021731	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Mrps16	ENSMUSG00000049960	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial h	Matrix
Prelid2	ENSMUSG00000056671	MitoCarta3.0	yeast mito homolog+, mito protein domain+, induction, coexpr	IMS
Shmt2	ENSMUSG00000025403	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	Matrix
Suox	ENSMUSG00000049858	MitoCarta3.0	APEX_IMS, targetP signal, mito protein domain+, coexpression	IMS
Ccdc90b	ENSMUSG00000030613	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Rmdn1	ENSMUSG00000028229	MitoCarta3.0	APEX_IMS, targetP signal+, mito protein domain, induction, c	MOM
Acsm5	ENSMUSG00000030972	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	Matrix
Mrpl36	ENSMUSG00000021607	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	Matrix
Gstk1	ENSMUSG00000029864	MitoCarta3.0	literature, mito protein domain+, coexpression+, MS/MS++	Matrix
Fmc1	ENSMUSG00000019689	MitoCarta3.0	literature, APEX_matrix, targetP signal, induction, coexpres	Matrix
Mrpl58	ENSMUSG00000018858	MitoCarta3.0	APEX_matrix, GFP, targetP signal+, mito protein domain, indu	Matrix
Cpt1a	ENSMUSG00000024900	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain, induct	MOM
Ak2	ENSMUSG00000028792	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog, Rickettsial homolo	IMS
2810006K23Rik	ENSMUSG00000047635	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	Matrix
